Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
2404,Barbaresco Asili,2468,,Italy,Piemonte,Red wine,a0F1X0000005ahCUAQ
7670,"Barolo ""Serra""",349,,Italy,Piemonte,Red wine,a0F1X0000005aZ5UAI
7667,Just Black,3039,,Italy,Piemonte,Red wine,a0F1X0000005aexUAA
7682,"Merlot ""Contarini""",3043,,Croatia,Istria,Red wine,a0F1X0000005aOLUAY
169,Brut Blanc de Noirs,72,,France,Champagne,Sparkling wine,a0F1X0000005aicUAA
2693,"Rioja Gran Reserva Especial ""Castillo Ygay""",1348,,Spain,Rioja,Red wine,a0F1X0000005agSUAQ
170,"Vintage ""Cuvée Seduction""",73,,France,Champagne,Sparkling wine,a0F1X0000005aAyUAI
7693,"Carmignano ""Montefortini""",3050,,Italy,Tuscany,Red wine,a0F1X0000005a9AUAQ
10203,"Bourgogne ""Côte Chalonnaise""",3887,,France,Burgundy,Red wine,a0F1X0000005aiaUAA
2851,Douro,1947,,Portugal,Douro,Red wine,a0F1X0000005alnUAA
7687,"Merlot ""Festigia""",3047,,Croatia,Istria,Red wine,a0F1X0000005arJUAQ
7691,Conundrum,3048,,United States,California,Red wine,a0F1X0000005aNQUAY
5329,Alion,1901,,Spain,Castilla y León,Red wine,a0F1X0000005aqoUAA
7692,"Carmignano ""Villa di Capezzana""",3049,,Italy,Tuscany,Red wine,a0F1X0000005aDJUAY
3701,"Ribera del Duero ""Tinto Pesquera""",555,,Spain,Castilla y León,Red wine,a0F1X0000005a8lUAA
7694,"Chateauneuf-du-Pape ""La Crau Ouest""",969,,France,Rhone,Red wine,a0F1X0000005aUwUAI
2695,12 Volts,1346,,Spain,Balearic Islands,Red wine,a0F1X0000005a8DUAQ
2697,"Volnay ""Clos du Chateau des Ducs",1350,,France,Burgundy,Red wine,a0F1X0000005aTwUAI
2698,"Volnay ""Les Mitans""",1350,,France,Burgundy,Red wine,a0F1X0000005aTwUAI
2694,"Las Iruelas ""El Tiemblo""",1349,,Spain,Castilla y León,Red wine,a0F1X0000005absUAA
1948,"Palazzo della Torre ""Veronese""",475,,Italy,Veneto,Red wine,a0F1X0000005a8wUAA
2934,"Volnay ""Clos des Chenes""",1350,,France,Burgundy,Red wine,a0F1X0000005aTwUAI
2938,"Chambolle-Musigny ""Les Veroilles""",1310,,France,Burgundy,Red wine,a0F1X0000005aPUUAY
7760,"Beaune 1er Cru ""Le Clos des Mouches""",2535,,France,Burgundy,Red wine,a0F1X0000005aSCUAY
173,"Vintage Blanc de Blancs Grand Cru ""Aubeline""",69,,France,Champagne,Sparkling wine,a0F1X0000005aYHUAY
3089,"Rosso ""Paleo""",488,,Italy,Tuscany,Red wine,a0F1X0000005aeKUAQ
3082,"Brunello di Montalcino Riserva ""Vigna Paganelli""",330,,Italy,Tuscany,Red wine,a0F1X0000005apcUAA
3117,Syrah Grand Estates,1508,,United States,Washington,Red wine,a0F1X0000005aNCUAY
3048,Spiga,1479,,Spain,Castilla y León,Red wine,a0F1X0000005airUAA
3152,"Old Vine Shiraz ""Explorateur""",1534,,Australia,South Australia,Red wine,a0F1X0000005aq0UAA
3153,"Spätburgunder ""Edition Nr. 24""",1535,,Germany,Pfalz,Red wine,a0F1X0000005aigUAA
7707,"Chateauneuf-du-Pape ""Cuvée Tradition - Cristia Collection""",3063,,France,Rhone,Red wine,a0F1X0000005aQJUAY
3083,"Bolgheri Superiore ""L'Alberello""",1494,,Italy,Tuscany,Red wine,a0F1X0000005akwUAA
3116,"Douro Reserva ""Duas Quintas""",1208,,Portugal,Douro,Red wine,a0F1X0000005alxUAA
10204,L'Estran,3888,,France,Bordeaux,Red wine,a0F1X0000005aK5UAI
