Id	Name	ProducerId	Appellation	Country	Region	WineType
2231	Cabernet Franc "Guarda"	1163		Argentina	Mendoza	Red wine
3744	Valpolicella Classico Superiore "Vigneto Scaiso"	1761		Italy	Veneto	Red wine
3265	Extra Brut Blanc de Blancs Grand Cru	1576		France	Champagne	Sparkling wine
8224	Vintage Rosé "Cuvée Elizabeth Salmon"	491		France	Champagne	Sparkling wine
1804	Syrah "Lote D"	936		Chile	Colchagua Valley	Red wine
4275	Nuits-St-Georges "Les Vaucrains"	1967		France	Burgundy	Red wine
7183	Malbec "Orzada"	2595		Chile	Curico Valley	Red wine
247	Pavie-Decesse	125		France	Bordeaux	Red wine
6024	Hunter's Miru Miru	2533		France	Champagne	Sparkling wine
10305	Blanc de Noirs "Le Haut de la Guignelle"	1277		France	Champagne	Sparkling wine
2675	Clos du Prieuré	51		France	Burgundy	White wine
6449	Talbot	44		France	Bordeaux	Red wine
5928	Frühburgunder	2500		Germany	Franken	Red wine
7763	Pinot Noir "Bourgogne"	3100		France	Burgundy	Red wine
1005	Brut Grand Cru "Cuvée Comté de Marne"	576		France	Champagne	Sparkling wine
5966	Amarone Delle Valplicella Classico "Vaio Armaron"	677		Italy	Tuscany	Red wine
4456	Vers Le Nord	2036		France	Languedoc-Roussillon	Red wine
677	Shiraz "The Dead Arm"	191		Australia	South Australia	Red wine
4787	Saumur "La Nompareille"	2160		France	Loire	White wine
4047	Chardonnay	1898		United States	California	White wine
2449	Riesling "Jubiläumscuvée - Alte Reben"	785		Germany	Mosel	White wine
1441	Rouge	779		France	Bordeaux	Red wine
2437	Daumas Gassac	1247		France	Vin de Pays	Red wine
5333	Ca' Marcanda "Magari"	147		Italy	Tuscany	Red wine
7027	Côte-Rôtie "Brune et Blonde de Guigal"	346		France	Rhone	Red wine
4141	Riesling Spätlese "Piesporter Goldtröpfcehn"	1944		Germany	Mosel	White wine
9305	Seguin	3580		France	Bordeaux	Red wine
2404	Barbaresco Asili	2468		Italy	Piemonte	Red wine
4053	Nebro	1899		Spain	Castilla y León	Red wine
7120	Indigène	2162		France	Loire	Red wine
269	Rosso "Stefano Antonucci"	172		Italy	Marche	Red wine
7283	Amarone della Valpolicella "Proemio"	410		Italy	Veneto	Red wine
7464	Chablis 1er Cru "Vaulorent"	1905		France	Burgundy	White wine
7218	Son Negre	1854		Spain	Balearic Islands	Red wine
8421	Pinot Rosé "Cuvée Brut"	3278		Italy	Veneto	Sparkling wine
8293	Vintage Blanc de Blancs "Extra Cuvée de Réserve"	754		France	Champagne	Sparkling wine
4453	La Bouliere	2055		France	Languedoc-Roussillon	Red wine
4819	Syrah "Clarendon - Piggott Range"	1459		Australia	South Australia	Red wine
3327	Ribera del Duero "Parada de Atauta"	1972		Spain	Castilla y León	Red wine
5180	Trotanoy	2263		France	Bordeaux	Red wine
